Period,EQ
1,504.7849334
2,490.2264774
3,479.2446856
4,489.0574275
5,477.0319938
6,487.8552994
7,466.3992813
8,546.0530843
9,464.9256065
10,357.6486931
11,298.553287
12,283.7974301
13,239.2316222
1,392.3264313
2,355.6522644
3,286.705586
4,361.4447145
5,378.2739106
6,300.9220559
7,367.5470472
8,385.53789
9,332.1503773
10,237.7135844
11,193.3007544
12,179.2925035
13,173.2373049
1,247.3154761
2,284.1832918
3,274.4307568
4,205.4999844
5,250.555064
6,278.3175236
7,284.8954797
8,244.9313589
9,175.4323186
10,168.1066651
11,161.529279
12,151.6422314
13,130.9373608
